No.,Author(s),Year,Full title,Journal,DOI,SHG engagement,Justification for inclusion
96,Jeon J et al.,2023,Birth Cohort–Specific Smoking Patterns by Family Income in the U.S.,American Journal of Preventive Medicine,10.1016/j.amepre.2022.07.019,SHG subgroup-method extension,Extended the CISNET-LWG smoking-history methodology to generate birth-cohort smoking patterns across family-income groups.
97,Jeon J et al.,2023,"Mortality Relative Risks by Smoking, Race/Ethnicity, and Education",American Journal of Preventive Medicine,10.1016/j.amepre.2022.12.006,SHG mortality input development,Developed smoking-associated all-cause mortality relative risks by race/ethnicity and education to support extensions of SHG and related simulation models.
98,Knudsen AB et al.,2023,"Estimated US Cancer Deaths Prevented With Increased Use of Lung, Colorectal, Breast, and Cervical Cancer Screening",JAMA Network Open,10.1001/jamanetworkopen.2023.44698,SHG-based model-output use,Reused lung-screening model outputs from CISNET USPSTF analyses generated from SHG smoking histories.
99,Levy DT et al.,2023,Public Health Impact of a US Ban on Menthol in Cigarettes and Cigars: A Simulation Study,Tobacco Control,10.1136/tobaccocontrol-2021-056604,SHG-derived population model,"Applied Menthol SAVM, a model descended from the CISNET birth-cohort smoking initiation and cessation framework, to a U.S. menthol-ban scenario."
100,Levy DT et al.,2023,Summary and Concluding Remarks: Patterns of Birth Cohort–Specific Smoking Histories,American Journal of Preventive Medicine,10.1016/j.amepre.2022.12.007,SHG framework synthesis,Synthesized the supplement's SHG-framework extensions and described their application to tobacco-control and health-disparities modeling.
101,Levy DT et al.,2023,The Australia Smoking and Vaping Model: The Potential Impact of Increasing Access to Nicotine Vaping Products,Nicotine & Tobacco Research,10.1093/ntr/ntac210,Country SHG-derived population model,Adapted SAVM to Australia and scaled CISNET-derived smoking initiation and cessation rates to Australian data.
102,Meza RA et al.,2023,Patterns of Birth Cohort–Specific Smoking Histories by Race and Ethnicity in the U.S.,American Journal of Preventive Medicine,10.1016/j.amepre.2022.06.022,SHG subgroup-method extension,"Extended the CISNET-LWG age-period-cohort smoking-history methodology to estimate initiation, cessation, prevalence, intensity, duration, and pack-years for five U.S. racial and ethnic groups."
103,Sánchez-Romero LM et al.,2023,"The Smoking and Vaping Model, a User-Friendly Model for Examining the Country-Specific Impact of Nicotine Vaping Product Use: Application to Germany",BMC Public Health,10.1186/s12889-023-17152-y,Country SHG-derived population model,Adapted SAVM to Germany using its CISNET Lung Working Group–derived initiation and cessation structure.
104,Schwamm E et al.,2023,"Longitudinal Transitions in Initiation, Cessation, and Relapse of Cigarette Smoking and E-cigarette Use Among US Youth and Adults: Validation of a Microsimulation Model",PLOS ONE,10.1371/journal.pone.0284426,STOP model derivative,"Validated an application of the STOP microsimulation, whose foundational model was built and calibrated using CISNET smoking inputs."
105,Sereda Y et al.,2023,"Approaches to Developing De Novo Cancer Population Models to Examine Questions About Cancer and Race in Bladder, Gastric, and Endometrial Cancer and Multiple Myeloma: The Cancer Intervention and Surveillance Modeling Network Incubator Program",Journal of the National Cancer Institute Monographs,10.1093/jncimonographs/lgad021,Direct use through CISNET bladder model lineage,Documented use of the CISNET Lung Cancer group's SHG in the exposure and mortality components of the CISNET bladder cancer models.
106,Skolnick S et al.,2023,"Contribution of Smoking, Disease History, and Survival to Lung Cancer Disparities in Black Individuals",JNCI Monographs,10.1093/jncimonographs/lgad016,Explicit use in analysis,Applied MichiganLung-All Races and MichiganLung-Black using NCI SHG lifetime smoking histories and Black-specific smoking-history inputs to decompose lung-cancer mortality disparities.
107,Tam J et al.,2023,Patterns of Birth Cohort–Specific Smoking Histories in Brazil,American Journal of Preventive Medicine,10.1016/j.amepre.2022.12.002,Country SHG-method adaptation,Applied the CISNET-LWG age-period-cohort smoking-history methodology to Brazilian survey data and generated model-ready cohort-specific smoking parameters.
108,Tam J et al.,2023,Using the Past to Understand the Future of U.S. and Global Smoking Disparities: A Birth Cohort Perspective,American Journal of Preventive Medicine,10.1016/j.amepre.2022.12.003,SHG framework overview,"Introduced and synthesized CISNET-LWG extensions of the SHG age-period-cohort framework for smoking histories by race/ethnicity, education, income, state, and country."
109,Toumazis I et al.,2023,Risk Model–Based Lung Cancer Screening: A Cost-Effectiveness Analysis,Annals of Internal Medicine,10.7326/m22-2216,Explicit use in analysis,Obtained 1960 U.S. birth-cohort smoking histories and competing-cause death ages from the CISNET SHG.
110,Xi Q et al.,2023,"Modeling Cigarette Smoking Disparities Between People With and Without Serious Psychological Distress in the US, 1997–2100",Preventive Medicine,10.1016/j.ypmed.2022.107385,Direct use of SHG-derived inputs,Used annual CISNET smoking initiation and cessation probabilities and smoking-status-specific mortality rates in a population model stratified by psychological distress.
111,de Nijs K et al.,2024,Projected Effectiveness of Lung Cancer Screening and Concurrent Smoking Cessation Support in the Netherlands,eClinicalMedicine,10.1016/j.eclinm.2024.102570,Country-adapted SHG application,"Adapted MISCAN-Lung to simulate Dutch initiation, cessation, and smoking intensity using national health-survey data."
112,Hannel T et al.,2024,Modeling the Population Health Impact of Accurate and Inaccurate Perceptions of Harm From Nicotine,Harm Reduction Journal,10.1186/s12954-024-01059-x,Direct use of SHG-derived inputs,Used CISNET birth-cohort smoking initiation and cessation probabilities to model the health effects of nicotine-harm perceptions.
113,Hemmati M et al.,2024,Benchmarking Lung Cancer Screening Programmes With Adaptive Screening Frequency Against the Optimal Screening Schedules Derived From the ENGAGE Framework,eClinicalMedicine,10.1016/j.eclinm.2024.102743,Explicit SHG-derived model,Used smoking-state transitions estimated from a validated SHG within the ENGAGE framework.
114,Issabakhsh M et al.,2024,Public Health Impact of a US Menthol Cigarette Ban on the Non-Hispanic Black Population: A Simulation Study,Tobacco Control,10.1136/tobaccocontrol-2022-057298,SHG-derived population model,Applied Menthol SAVM and its CISNET-derived smoking-transition structure to the non-Hispanic Black population.
115,Kale M et al.,2024,The Benefits and Harms of Lung Cancer Screening in Individuals With Comorbidities,JTO Clinical and Research Reports,10.1016/j.jtocrr.2024.100635,Explicit use in analysis,Used SHG to simulate smoking histories for modeled individuals across screening-age groups.
116,Mazzone PJ et al.,2024,Clinical Validation of a Cell-Free DNA Fragmentome Assay for Augmentation of Lung Cancer Early Detection,Cancer Discovery,10.1158/2159-8290.cd-24-0519,Explicit use in analysis,Drew the modeled LDCT-eligible population from the smoking and age distribution created by SHG.
117,Meza RA et al.,2024,Assessing the Impact of Increasing Lung Screening Eligibility by Relaxing the Maximum Years-Since-Quit Threshold: A Simulation Modeling Study,Cancer,10.1002/cncr.34925,Explicit use in analysis,Used CISNET SHG-generated individual histories as inputs to two independent lung-cancer models.
118,Roseleur J et al.,2024,Targeted Lung Cancer Screening in the Age of Immunotherapies and Targeted Therapies—An Economic Evaluation for Australia,The Lancet Regional Health – Western Pacific,10.1016/j.lanwpc.2024.101241,Country-adapted SHG application,Adapted MISCAN-Lung to Australian demographics and smoking behavior to evaluate targeted screening.
119,Salgado MV et al.,2024,Smoking Patterns by Birth Cohort in Argentina: An Age-Period-Cohort Population-Based Modeling Study,The Lancet Regional Health – Americas,10.1016/j.lana.2024.100823,Country SHG-method adaptation,Adapted the CISNET Lung Working Group age–period–cohort smoking-history methodology to Argentine survey data.
120,Tam J et al.,2024,US Tobacco 21 Policies and Potential Mortality Reductions by State,JAMA Health Forum,10.1001/jamahealthforum.2024.4445,Explicit SHG-derived model,"Adapted the CISNET Tobacco Control Policy Model, previously the SHG Population Model, to all states and the District of Columbia."
121,ten Haaf K et al.,2024,The Impact of Model Assumptions on Personalized Lung Cancer Screening Recommendations,Medical Decision Making,10.1177/0272989x241249182,Comparative direct and internal-SHG application,Compared personalized screening recommendations from CISNET models using NCI SHG histories and OncoSim-Lung using its related internal Canadian SHG.
122,Tomonaga Y et al.,2024,Cost-Effectiveness of Risk-Based Low-Dose Computed Tomography Screening for Lung Cancer in Switzerland,International Journal of Cancer,10.1002/ijc.34746,Country-adapted SHG application,"Used MISCAN-Lung with sex- and birth-cohort-specific initiation, cessation, and intensity histories adapted to Switzerland."
123,Chen X et al.,2025,Occult Metastases and Survival of Lung Cancer by Clinical Diagnosis and CT Screening: A Simulation Study,PLOS ONE,10.1371/journal.pone.0313544,Explicit use in analysis,Used SHG version 5.2.1 to generate smoking duration and intensity for a carcinogenesis and lung-cancer natural-history model.
124,Chen L et al.,2025,Power of Personalized Smoking Cessation: A Quantitative Lifecycle Framework for Policy Evaluation,Quantitative Economics,10.3982/qe1412,Direct use of SHG-derived calibration inputs,"Used Holford birth-cohort smoking prevalence, intensity, and cessation estimates as calibration targets for lifecycle smoking profiles."
125,de Nijs K et al.,2025,Computed Tomographic Screening Intervals for Patients at Moderate Risk of Lung Cancer,JAMA Network Open,10.1001/jamanetworkopen.2025.23044,Explicit use in analysis,Used the CISNET SHG to produce smoking life histories for the 1965 U.S. birth cohort in two U.S. models.
126,de Nijs K et al.,2025,Influence of Changing Patterns in Lung Cancer Treatment and Survival on the Cost-Effectiveness of CT Screening: A Modeling Study,eClinicalMedicine,10.1016/j.eclinm.2025.103446,Country-adapted SHG application,"Used MISCAN-Lung to simulate initiation, cessation, and smoking intensity calibrated to Dutch Health Survey data."
127,Goddard KA et al.,2025,"Estimation of Cancer Deaths Averted From Prevention, Screening, and Treatment Efforts, 1975–2020",JAMA Oncology,10.1001/jamaoncol.2024.5381,Direct updated SHG application,"Applied updated initiation, cessation, and intensity probabilities and actual-versus-no-tobacco-control histories in the BC Cancer/Michigan and Yale CISNET lung models."
128,Lee B et al.,2025,Disparities in Tobacco Smoking and Risk of Cardiovascular Disease in People With Low Socioeconomic Status or Serious Psychological Distress: A Simulation Analysis,American Journal of Preventive Medicine,10.1016/j.amepre.2024.10.008,STOP model derivative,"Applied the STOP microsimulation, whose foundational smoking model was built and calibrated using CISNET inputs, to cardiovascular disparities."
129,Levy DT et al.,2025,Canada Smoking and Vaping Model (SAVM): The Public Health Impact of NVP Availability in Canada,BMJ Public Health,10.1136/bmjph-2024-001828,Country SHG-derived population model,Adapted SAVM and its CISNET-derived smoking initiation and cessation structure to Canadian population data.
130,Levy DE et al.,2025,Disparities in Cigarette Smoking and the Health of Marginalized Populations in the U.S.: A Simulation Analysis,BMC Public Health,10.1186/s12889-025-22658-8,STOP model derivative,Applied the STOP microsimulation and its CISNET-derived smoking-model foundation to marginalized U.S. populations.
131,Nguyen PT et al.,2025,"Patterns of Birth Cohort-Specific Smoking Histories in Japan, 1910–2050: A Shift Towards Younger People?",Tobacco Control,10.1136/tc-2024-059262,Country SHG-method adaptation,"Applied the Holford smoking-history methodology to estimate Japanese initiation, cessation, prevalence, and cigarette-intensity patterns by sex and birth cohort."
132,Reddy KP et al.,2025,Projected Impact of Higher E-cigarette or Combustible Cigarette Taxes on Use of Both Products in the U.S.,AJPM Focus,10.1016/j.focus.2025.100406,STOP model derivative,Applied the STOP microsimulation and its CISNET-derived smoking-model foundation to cigarette and e-cigarette tax scenarios.
133,Tanaka S et al.,2025,Birth Cohort-Specific Smoking Patterns in Japan (1906–2004): A Population-Based Study From the NC-CCAPH Consortium,The Lancet Regional Health – Western Pacific,10.1016/j.lanwpc.2025.101562,Country SHG-method adaptation,"Applied the Holford age-period-cohort smoking-history method to estimate Japanese initiation, cessation, prevalence, and intensity distributions."
134,Cao P et al.,2026,Cost-Effectiveness of Smoking Cessation Interventions Integrated Into Lung Cancer Screening,JAMA Network Open,10.1001/jamanetworkopen.2026.33630,Explicit use in analysis,Simulated histories for one million men and one million women from the 1960 cohort and modified SHG cessation probabilities.
135,Cao P et al.,2026,Performance of Smoking Duration–Based Lung Cancer Screening Eligibility Criteria: A Comparative Modeling Study,Journal of the National Cancer Institute,10.1093/jnci/djag018,Explicit use in analysis,Simulated one million men and women from the 1960 and 1970 U.S. birth cohorts using SHG.
136,de Nijs K et al.,2026,"The Optimal Lung Cancer CT Screening Strategy: A Cost-Effectiveness Study Incorporating NELSON Evidence, Evolving Cost of Treatment and Smoking Cessation Interventions",International Journal of Cancer,10.1002/ijc.70655,Country-adapted SHG application,Used Dutch MISCAN-Lung smoking-history predictions to evaluate screening and cessation strategies.
137,Jalal HJ et al.,2026,Bladder Cancer Burden in the USA: Population Scenarios for 2040,European Urology Open Science,10.1016/j.euros.2025.11.013,Explicit SHG reimplementation,Used a verified reimplementation of CISNET SHG version 5.2.1 for historical smoking exposure in bladder-cancer models.
138,Leleu H et al.,2026,Efficacy and Cost-Effectiveness of Lung Cancer Screening in France With Low-Dose Computed Tomography,European Journal of Cancer Prevention,10.1097/cej.0000000000000973,Explicit country adaptation,Used an SHG calibrated to reproduce French smoking behavior.
139,Muhammad-Kah RS et al.,2026,Investigating the Population Health Impact of an Oral Tobacco-Derived Nicotine Pouch Product Utilizing a Three-Product Tobacco Use Population Model,Frontiers in Public Health,10.3389/fpubh.2026.1772045,Direct use of SHG-derived inputs,Used CISNET birth-cohort smoking initiation and cessation histories in a three-product tobacco-use population model.
140,Park S et al.,2026,Modelling the Potential Impact of a Flavour Ban on Smoking and Vaping Prevalence in South Korea,Tobacco Control,10.1136/tc-2025-059802,Country SHG-derived population model,Adapted SAVM and its CISNET-derived smoking-transition framework to the South Korean population.
141,Salgado MV et al.,2026,Benefits and Harms of Lung Cancer Screening Strategies in Argentina: A Modeling Study,The Lancet Regional Health – Americas,10.1016/j.lana.2026.101476,Explicit country adaptation,Used population inputs from an Argentina-specific adaptation of the CISNET SHG.
142,Salgado MV et al.,2026,Lung Cancer Screening–Eligible Population From 2000 to 2050 in Argentina: A Simulation Study Brief Report,JTO Clinical and Research Reports,10.1016/j.jtocrr.2026.101006,Explicit country adaptation,Used Argentina's adaptation of the CISNET SHG to simulate cohort-specific smoking histories and other-cause mortality.
143,Salgado MV et al.,2026,Modeling the Impact of Smoking on Mortality in Argentina From 2000 to 2100: A Maximum Potential Reduction in Premature Mortality Analysis,Nicotine & Tobacco Research,10.1093/ntr/ntaf117,Country SHG-derived population model,Applied an Argentina-specific adaptation of the CISNET Tobacco Control Policy Model using cohort-specific smoking initiation and cessation histories.
